33.30	20.50	26.90	0.00	49.50	61.00	38.0
30.30	22.00	26.15	0.00	60.00	69.00	51.0
23.20	13.80	18.50	0.30	81.50	87.00	76.0
16.80	11.40	14.10	0.30	74.00	91.00	57.0
17.00	11.80	14.40	0.00	83.50	97.00	70.0
16.90	12.40	14.65	0.40	79.50	92.00	67.0
19.70	12.20	15.95	0.00	78.00	91.00	65.0
22.00	14.60	18.30	0.00	71.00	85.00	57.0
25.60	10.80	18.20	0.00	71.00	87.00	55.0
22.00	17.70	19.85	0.00	69.50	76.00	63.0
20.50	15.00	17.75	0.00	85.00	99.00	71.0
23.20	15.10	19.15	0.00	56.00	73.00	39.0
26.20	13.00	19.60	0.00	45.00	61.00	29.0
29.10	12.10	20.60	0.00	41.00	55.00	27.0
30.00	12.00	21.00	0.00	45.00	61.00	29.0
28.10	15.80	21.95	0.00	43.00	50.00	36.0
24.80	10.40	17.60	0.00	57.00	68.00	46.0
22.00	11.20	16.60	0.00	41.50	53.00	30.0
26.00	6.20	16.10	0.00	46.50	71.00	22.0
30.30	5.80	18.05	0.00	36.00	50.00	22.0
32.00	9.20	20.60	0.00	47.00	66.00	28.0
33.40	19.20	26.30	1.00	35.00	44.00	26.0
31.40	19.60	25.50	0.00	56.00	74.00	38.0
30.50	14.20	22.35	0.00	63.50	89.00	38.0
34.60	15.20	24.90	0.00	56.50	73.00	40.0
37.50	22.80	30.15	13.00	55.50	74.00	37.0
25.30	18.20	21.75	12.00	99.00	100.00	98.0
18.20	14.70	16.45	1.00	86.00	100.00	72.0
19.80	14.80	17.30	0.50	89.50	99.00	80.0
22.20	16.00	19.10	2.00	84.00	98.00	70.0
25.70	17.10	21.40	0.00	83.50	99.00	68.0
22.40	19.10	20.75	0.00	81.50	92.00	71.0
26.80	18.40	22.60	0.00	44.50	67.00	22.0
27.70	16.40	22.05	0.00	51.50	66.00	37.0
27.80	16.20	22.00	0.00	53.00	71.00	35.0
28.30	14.80	21.55	0.00	53.50	71.00	36.0
24.70	19.70	22.20	0.00	60.50	68.00	53.0
26.20	19.00	22.60	0.00	68.00	83.00	53.0
31.00	18.10	24.55	0.00	63.50	80.00	47.0
26.80	20.60	23.70	0.00	56.50	69.00	44.0
28.40	19.20	23.80	0.00	49.50	62.00	37.0
34.00	15.10	24.55	2.00	48.50	75.00	22.0
28.40	19.00	23.70	3.00	70.00	94.00	46.0
31.50	19.80	25.65	0.30	66.50	85.00	48.0
27.10	20.20	23.65	0.00	81.00	92.00	70.0
32.00	17.60	24.80	0.00	70.50	96.00	45.0
33.60	20.20	26.90	18.00	59.00	78.00	40.0
25.30	17.10	21.20	0.00	81.00	95.00	67.0
26.90	17.80	22.35	0.00	71.50	87.00	56.0
29.30	20.60	24.95	0.00	68.00	82.00	54.0
32.00	21.70	26.85	0.00	69.50	86.00	53.0
36.10	19.70	27.90	6.00	65.50	88.00	43.0
22.80	18.00	20.40	0.00	78.00	85.00	71.0
27.40	16.30	21.85	0.00	68.00	91.00	45.0
30.60	20.00	25.30	0.00	64.50	83.00	46.0
35.50	21.20	28.35	0.00	59.50	77.00	42.0
38.40	21.40	29.90	0.00	54.00	72.00	36.0
40.60	23.20	31.90	0.00	44.50	58.00	31.0
38.50	23.60	31.05	0.10	51.00	64.00	38.0
32.80	22.80	27.80	13.00	86.00	89.00	83.0
23.80	20.00	21.90	0.00	76.00	96.00	56.0
26.50	19.40	22.95	0.00	59.50	76.00	43.0
28.50	19.30	23.90	0.30	65.00	79.00	51.0
25.50	20.50	23.00	22.00	80.50	92.00	69.0
22.80	17.00	19.90	1.00	83.50	99.00	68.0
28.70	16.70	22.70	0.00	71.00	92.00	50.0
31.80	15.00	23.40	0.00	63.50	87.00	40.0
36.50	19.80	28.15	0.00	51.50	70.00	33.0
34.20	20.60	27.40	60.00	59.00	71.00	47.0
28.70	19.30	24.00	0.00	70.50	79.00	62.0
24.20	18.20	21.20	0.00	76.00	84.00	68.0
24.00	18.80	21.40	0.00	89.00	97.00	81.0
27.70	19.20	23.45	0.00	84.50	95.00	74.0
29.20	21.60	25.40	0.00	70.50	84.00	57.0
31.80	20.10	25.95	0.00	72.50	96.00	49.0
36.00	21.70	28.85	0.00	70.50	90.00	51.0
29.80	19.90	24.85	0.50	82.50	88.00	77.0
26.50	18.80	22.65	0.50	77.00	92.00	62.0
21.90	16.00	18.95	12.00	90.00	99.00	81.0
23.00	15.80	19.40	0.00	85.00	100.00	70.0
32.00	18.40	25.20	0.00	75.00	94.00	56.0
35.40	21.80	28.60	0.00	64.00	86.00	42.0
39.50	23.50	31.50	0.00	55.00	78.00	32.0
38.00	23.60	30.80	1.00	61.00	81.00	41.0
33.90	23.00	28.45	0.00	70.50	86.00	55.0
41.50	21.20	31.35	0.00	57.50	93.00	22.0
35.00	17.60	26.30	0.00	70.00	84.00	56.0
25.60	14.80	20.20	0.00	57.50	73.00	42.0
31.20	13.90	22.55	0.00	68.50	93.00	44.0
32.30	22.50	27.40	0.00	64.50	77.00	52.0
35.00	21.80	28.40	1.00	60.50	75.00	46.0
28.60	16.50	22.55	18.00	82.50	99.00	66.0
27.00	14.90	20.95	0.00	59.00	81.00	37.0
31.40	13.30	22.35	0.00	62.50	90.00	35.0
30.40	14.80	22.60	13.00	57.00	71.00	43.0
23.20	15.80	19.50	1.00	94.00	100.00	88.0
28.30	15.00	21.65	0.00	70.50	91.00	50.0
